model,roc_auc_with_retention,roc_auc_without_retention,accuracy_with_retention,accuracy_without_retention,precision_with_retention,precision_without_retention,recall_with_retention,recall_without_retention,f1_with_retention,f1_without_retention,roc_auc_gain_with_retention
HistGradientBoosting,0.6786943931978627,0.6738314812854052,0.6205680705190989,0.6192948090107737,0.4019360269360269,0.3995749202975558,0.6492182188987083,0.6390210740992522,0.49649077203015335,0.49169608996992287,0.004862911912457579
Random Forest,0.6700926217268961,0.6665084216705509,0.6928501469147894,0.6915768854064642,0.45865302642796246,0.4549804262722923,0.36573759347382734,0.3555404486743712,0.4069591527987897,0.3991604655600076,0.003584200056345188
Decision Tree,0.6333595401763015,0.6256841823970081,0.5656219392752204,0.5603330068560235,0.3627505056076485,0.35882460302974994,0.6706322229775663,0.6682528891910265,0.4708268703018733,0.4669279182994894,0.007675357779293401
Logistic Regression,0.6296096669157181,0.6227696668708216,0.5933398628795299,0.5871694417238001,0.36904761904761907,0.36500530222693534,0.579537729435758,0.5849762066621346,0.45093890505157364,0.4495233120020896,0.006840000044896488
