feature_set,model,roc_auc,accuracy,balanced_accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
with_retention,Logistic Regression,0.6296096669157181,0.5933398628795299,0.589232265928666,0.36904761904761907,0.579537729435758,0.45093890505157364,4353,2915,1237,1705
with_retention,Decision Tree,0.6333595401763015,0.5656219392752204,0.5968736238718322,0.3627505056076485,0.6706322229775663,0.4708268703018733,3802,3466,969,1973
with_retention,Random Forest,0.6700926217268961,0.6928501469147894,0.5954995066983886,0.45865302642796246,0.36573759347382734,0.4069591527987897,5998,1270,1866,1076
with_retention,HistGradientBoosting,0.6786943931978627,0.6205680705190989,0.6290945249694422,0.4019360269360269,0.6492182188987083,0.49649077203015335,4426,2842,1032,1910
without_retention,Logistic Regression,0.6227696668708216,0.5871694417238001,0.5865167219331586,0.36500530222693534,0.5849762066621346,0.4495233120020896,4274,2994,1221,1721
without_retention,Decision Tree,0.6256841823970081,0.5603330068560235,0.5924506052999712,0.35882460302974994,0.6682528891910265,0.4669279182994894,3755,3513,976,1966
without_retention,Random Forest,0.6665084216705509,0.6915768854064642,0.5915704444802786,0.4549804262722923,0.3555404486743712,0.3991604655600076,6015,1253,1896,1046
without_retention,HistGradientBoosting,0.6738314812854052,0.6192948090107737,0.6251654627513322,0.3995749202975558,0.6390210740992522,0.49169608996992287,4443,2825,1062,1880
